index,message,reply
117,No I have. What does the results turn?,You should try it! It tilts the page. Another fun thing Google does is call new employees nogglers. They have to wear propeller beanies. Or is this mean?
118,You should try it! It tilts the page. Another fun thing Google does is call new employees nogglers. They have to wear propeller beanies. Or is this mean?,"Oh, not sure about that really. People say it is a great place to work at though"
119,"Oh, not sure about that really. People say it is a great place to work at though","Before Google launched gmail, that was the name of a free email service offered by garfield's website. That actually seems more fun."
120,"Before Google launched gmail, that was the name of a free email service offered by garfield's website. That actually seems more fun.",I know now everytime I open gmail I think of garfield
121,I know now everytime I open gmail I think of garfield,"Speaking of cats, I would love to get a glow in the dark one. They have those in South Korea."
122,"Speaking of cats, I would love to get a glow in the dark one. They have those in South Korea.",Wow. In Japana and Taiwan there are cat cafes where you can play with them
123,Wow. In Japana and Taiwan there are cat cafes where you can play with them,That seems fun! That reminds me of the Anderson house bed and breakfast in Minnesota. They used to offer a free cat for the night when you booked a room.
124,That seems fun! That reminds me of the Anderson house bed and breakfast in Minnesota. They used to offer a free cat for the night when you booked a room.,wow. there is a town in alaska where the mayor of the town is a cat
125,wow. there is a town in alaska where the mayor of the town is a cat,"That is cool. Cats are a pretty smart species. There has not been a cat species extinction in 10,000 years."
126,"That is cool. Cats are a pretty smart species. There has not been a cat species extinction in 10,000 years.",They are indeed very smart and that proves it. Nice chatting with you.
127,They are indeed very smart and that proves it. Nice chatting with you.,Do you like comic books?
128,Do you like comic books?,I do like comic books!
129,I do like comic books!,Have you heard that Harley Quinn has a new comic book series coming out?
130,Have you heard that Harley Quinn has a new comic book series coming out?,"I have not heard that.  I know that comic book legend Stan Lee used to end every phone conversation with ""excelsior!"""
131,"I have not heard that.  I know that comic book legend Stan Lee used to end every phone conversation with ""excelsior!""",I've heard that too. Did you know that the DC in DC comics stands for Detective Comics?
132,I've heard that too. Did you know that the DC in DC comics stands for Detective Comics?,I just read that today.  The largest comic book market is in Japan.  I believe it.  My son loves to read those mangas.
133,I just read that today.  The largest comic book market is in Japan.  I believe it.  My son loves to read those mangas.,I would love to go there. I used to like reading Manga too. 
134,I would love to go there. I used to like reading Manga too. ,The manga market is Japan is valued at $6 to $7 billion dollars!
135,The manga market is Japan is valued at $6 to $7 billion dollars!,That is wild! Did you know that Michigan State University library has the largest publicly available comic book collection in the world?
136,That is wild! Did you know that Michigan State University library has the largest publicly available comic book collection in the world?,"I didn't know that.  I wonder how many people use it.  By comparison to Japan, the US comic book market in the US and Canada is $1.09 billion!"
137,"I didn't know that.  I wonder how many people use it.  By comparison to Japan, the US comic book market in the US and Canada is $1.09 billion!","That's crazy, Japan is way more into comic books than America it seems. "
138,"That's crazy, Japan is way more into comic books than America it seems. ","I agree!  The Marvel cinematic universe takes place in earth -199999, a multiverse different from the original comic book multiverse, earth-616!"
139,"I agree!  The Marvel cinematic universe takes place in earth -199999, a multiverse different from the original comic book multiverse, earth-616!","That's pretty wild. Marvel published a ""generic comic book,"" in order to trademark the names ""superhero"" and ""super-villain."" That was pretty smart of them. "
140,"That's pretty wild. Marvel published a ""generic comic book,"" in order to trademark the names ""superhero"" and ""super-villain."" That was pretty smart of them. ",No doubt!  Do you know much about the planets or the universe?
141,No doubt!  Do you know much about the planets or the universe?,I know a little bit. I've heard that Venus does not tilt. 
142,I know a little bit. I've heard that Venus does not tilt. ,That interesting.  Uranus is different to.  It actually rotates sideways and rolls around the sun rather than spins like the other planets.
143,That interesting.  Uranus is different to.  It actually rotates sideways and rolls around the sun rather than spins like the other planets.,That's really interesting. I've also heard that Jupiter's moon Ganymede would be considered a planet if it orbited the sun. 
144,That's really interesting. I've also heard that Jupiter's moon Ganymede would be considered a planet if it orbited the sun. ,It must be pretty big then!  I wouldn't want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph!
145,It must be pretty big then!  I wouldn't want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph!,I don't see that being a pleasant place. It's even 2000 degree weather. That sounds like hell to me!
146,I don't see that being a pleasant place. It's even 2000 degree weather. That sounds like hell to me!,Hahah That's a good way of putting it! 
147,Hahah That's a good way of putting it! ,"Well I have to get to work, I hope you have a good day. It was nice chatting with you!"
148,"Well I have to get to work, I hope you have a good day. It was nice chatting with you!",Can you believe there is stars that can be cold enough to be touched ? The universe is so diverse. 
149,Can you believe there is stars that can be cold enough to be touched ? The universe is so diverse. ,Its amazing and ever evolving. 
150,Its amazing and ever evolving. ,Yeah and there is even places that exist but we never will be able to see because they are too far away. 
151,Yeah and there is even places that exist but we never will be able to see because they are too far away. ,They are saying space pulls galaxies outside of universe that we could see
152,They are saying space pulls galaxies outside of universe that we could see,"Yes that is what I was saying, albeit I doubt that there is only one electron in the universe like some people say. "
153,"Yes that is what I was saying, albeit I doubt that there is only one electron in the universe like some people say. ",I don't see anything supporting or denying that theory so we would never know for sure. 
154,I don't see anything supporting or denying that theory so we would never know for sure. ,"Yeah, but only one ? For all the universe ? It does not seems logic ..."
155,"Yeah, but only one ? For all the universe ? It does not seems logic ...",There is only one sun that warms earth and all other planets so why not just one electron? 
156,There is only one sun that warms earth and all other planets so why not just one electron? ,"Because an electron is part of matter, the water you drink, the chair you sit on. Saying there is only 1 electron in the universe is like saying there is 1 grain of wheat in your bread.  "
157,"Because an electron is part of matter, the water you drink, the chair you sit on. Saying there is only 1 electron in the universe is like saying there is 1 grain of wheat in your bread.  ",It makes sense when you put it that way but in terms of that universe size the electron could be very big.
158,It makes sense when you put it that way but in terms of that universe size the electron could be very big.,Maybe they did mean to say that our universe is contained in an electron in another universe ?
159,Maybe they did mean to say that our universe is contained in an electron in another universe ?,"I don't know but I am at the end of knowledge on this subject. What do you think about the facts of comics? I would have thought US invented them, but it's Japan or UK."
160,"I don't know but I am at the end of knowledge on this subject. What do you think about the facts of comics? I would have thought US invented them, but it's Japan or UK.","Japan has a great printing history, I am not surprised about this. Do you read comics books ? I have read a few but not about super-heroes. "
161,"Japan has a great printing history, I am not surprised about this. Do you read comics books ? I have read a few but not about super-heroes. ","I used to in my childhood but not any more, I used to love inspector Gadget. "
162,"I used to in my childhood but not any more, I used to love inspector Gadget. ",Was Inspect Gadget a comics on Paper or a cartoon on TV ? I was talking about what Marvel is publishing.
163,Was Inspect Gadget a comics on Paper or a cartoon on TV ? I was talking about what Marvel is publishing.,On Paper and yes I do recall seeing Super-hero and Hulk books.
164,On Paper and yes I do recall seeing Super-hero and Hulk books.,"I think that Hulk is in the Marvel universe. But like I said, I never read anything from Marvel nor DC comics. "
165,"I think that Hulk is in the Marvel universe. But like I said, I never read anything from Marvel nor DC comics. ","Right me neither, there were so many good choices of comics when I was growing up. "
166,"Right me neither, there were so many good choices of comics when I was growing up. ","Not where I lived, if I want to read a comic book, I had to go to the library. But as I think about it Tintin is a comic book, so I was wrong, I did read a lot of them when I was young but they were European.  "
167,"Not where I lived, if I want to read a comic book, I had to go to the library. But as I think about it Tintin is a comic book, so I was wrong, I did read a lot of them when I was young but they were European.  ","Mine all time favorite was Bozo the clown, books and TV both. "
168,"Mine all time favorite was Bozo the clown, books and TV both. ","I did saw a lot of cartoons on TV, but I don't think that considered as a comic book. have a nice day. "
169,"I did saw a lot of cartoons on TV, but I don't think that considered as a comic book. have a nice day. ",Are you a Star Wars fan? I need to rewatch the OT and the prequels so I can watch the subsequent stuff for the first time and understand what's going on.
170,Are you a Star Wars fan? I need to rewatch the OT and the prequels so I can watch the subsequent stuff for the first time and understand what's going on.,"Hi! Yes, I am a huge fan of Star Wars! I also loved how it was the first major movie to be dubbed in Navajo! I think that is so cool!"
171,"Hi! Yes, I am a huge fan of Star Wars! I also loved how it was the first major movie to be dubbed in Navajo! I think that is so cool!","Yeah, that's wild. I guess it takes a pretty small audience to pay for the translation work."
172,"Yeah, that's wild. I guess it takes a pretty small audience to pay for the translation work.","Agreed. Isn't it also funny James Earl Jones only spent two and half hours recording his lines for Darth Vader? I also can't believe he was only paid $7500! Geez, that's pocket change."
173,"Agreed. Isn't it also funny James Earl Jones only spent two and half hours recording his lines for Darth Vader? I also can't believe he was only paid $7500! Geez, that's pocket change.",$7500 is amazingly low. I guess since Darth Vader was masked Jones could just record everything at once in the studio.
174,$7500 is amazingly low. I guess since Darth Vader was masked Jones could just record everything at once in the studio.,"Agreed. Can you also believe that George Lucas' wife at the time, Marcia, won an academy award for her editing on Star Wars and yet George Lucas didn't win an academy award for directing. That is just downright unbelievable!"
175,"Agreed. Can you also believe that George Lucas' wife at the time, Marcia, won an academy award for her editing on Star Wars and yet George Lucas didn't win an academy award for directing. That is just downright unbelievable!",A lot of people think the OT was so much better than the prequels because of her influence.
176,A lot of people think the OT was so much better than the prequels because of her influence.,"Yeah it was because of her that so many major changes were made like Leia's good luck kiss, Obi Wan's death, etc. She was truly a big influence!"
177,"Yeah it was because of her that so many major changes were made like Leia's good luck kiss, Obi Wan's death, etc. She was truly a big influence!","I remember thinking just about everything in the prequels' timeline was off, based on the mental version of the past the OT led us to construct. But I'd have to rewatch to nail it down."
178,"I remember thinking just about everything in the prequels' timeline was off, based on the mental version of the past the OT led us to construct. But I'd have to rewatch to nail it down.",Yeah I would have to watch it as well! So are you also a fan of Chewbacca? I love him. I think it's funny there's a bat species called the Chewbacca bat. That's hilarious!
179,Yeah I would have to watch it as well! So are you also a fan of Chewbacca? I love him. I think it's funny there's a bat species called the Chewbacca bat. That's hilarious!,I never felt strongly about Chewbacca one way or the other TBH. But I've got to google a picture of that bat to see what it looks like!
180,I never felt strongly about Chewbacca one way or the other TBH. But I've got to google a picture of that bat to see what it looks like!,I would like to see it as well. Did you know Chewbacca actually had a wife and two boys? That's pretty interesting!
181,I would like to see it as well. Did you know Chewbacca actually had a wife and two boys? That's pretty interesting!,I vaguely recall reading something in the Star Wars fictional universe where a young Han Solo stayed with Chewbacca and his mom in their home.
182,I vaguely recall reading something in the Star Wars fictional universe where a young Han Solo stayed with Chewbacca and his mom in their home.,"That's so weird, isn't it? Ha! Are you one of the fans who believes both r2d2 and Chewbacca were secret rebel agents? I kind of think it's an interesting theory. "
183,"That's so weird, isn't it? Ha! Are you one of the fans who believes both r2d2 and Chewbacca were secret rebel agents? I kind of think it's an interesting theory. ","I wish I knew enough about the background to have an opinion, but the last Star Wars I watched was Episode III, when it came out on video. I really need to rewatch to refresh my memory of it. "
184,"I wish I knew enough about the background to have an opinion, but the last Star Wars I watched was Episode III, when it came out on video. I really need to rewatch to refresh my memory of it. ","Same here! Like, I also had forgotten that before his companionship with Chewbacca, Hans Solo was an imperial lieutenant!"
185,"Same here! Like, I also had forgotten that before his companionship with Chewbacca, Hans Solo was an imperial lieutenant!","Yeah, I don't remember that at all. He definitely doesn't seem like the type."
186,"Yeah, I don't remember that at all. He definitely doesn't seem like the type.","Indeed he doesn't. But I've always liked Chewbacca because he reminded me of a giant dog. Ha! Speaking of dogs, I think it's cool that dogs, along with elephants, are the only animals that understand pointing!"
187,"Indeed he doesn't. But I've always liked Chewbacca because he reminded me of a giant dog. Ha! Speaking of dogs, I think it's cool that dogs, along with elephants, are the only animals that understand pointing!","I wouldn't be surprised if cats understood it but just didn't care, LOL."
188,"I wouldn't be surprised if cats understood it but just didn't care, LOL.","Ha! No kidding. Speaking of dogs and cats, I like how Google prefers dogs over cats and even states in their code of conduct that they're a dog company! That is awesome!"
189,"Ha! No kidding. Speaking of dogs and cats, I like how Google prefers dogs over cats and even states in their code of conduct that they're a dog company! That is awesome!","Yeah, that's a weird official policy for what's supposed to be a neutral search engine! Nice chatting with you."
190,"Yeah, that's a weird official policy for what's supposed to be a neutral search engine! Nice chatting with you.","Naming a cloned cat ""copy cat"", that's cute."
191,"Naming a cloned cat ""copy cat"", that's cute.",You must have ESP. I was going to tell you teh same thing! I have a sad story to tell there are less tigers living in the wild in Asia than as pets in the US.
192,You must have ESP. I was going to tell you teh same thing! I have a sad story to tell there are less tigers living in the wild in Asia than as pets in the US.,Really? That's awful to hear!
193,Really? That's awful to hear!,Of Roosevelt's 20 pets two were a bear and hyena!
194,Of Roosevelt's 20 pets two were a bear and hyena!,"Whoa, cool! I know he seemed to be quite the animal lover."
195,"Whoa, cool! I know he seemed to be quite the animal lover.","And there are more pets in Japan than there are children under 15. You can't be a pets ""OWNER"" in Boulder but you can be their guardian.  "
196,"And there are more pets in Japan than there are children under 15. You can't be a pets ""OWNER"" in Boulder but you can be their guardian.  ",I have a pet. I am an ailurophile meaning I love cats.
197,I have a pet. I am an ailurophile meaning I love cats.,Cool word! Did you know there are 20 quintillion animal varieties on Earth?
198,Cool word! Did you know there are 20 quintillion animal varieties on Earth?,That is a lot! And in 2002 Germany gave them legal rights.
199,That is a lot! And in 2002 Germany gave them legal rights.,"Yeah, and the Loch Ness monster is protected under the 1912 Scottish Animal Protection Act."
200,"Yeah, and the Loch Ness monster is protected under the 1912 Scottish Animal Protection Act.",I wonder if the immortal jellyfish needs protecting... being immortal and all.
201,I wonder if the immortal jellyfish needs protecting... being immortal and all.,"Lol...speaking of water animals, did you know that hiccoughs are a left over from evolution when we had gills?"
202,"Lol...speaking of water animals, did you know that hiccoughs are a left over from evolution when we had gills?","Maybe that connection is part of why 84% of human disease genes have counterparts in zebrafish, too... hmm."
203,"Maybe that connection is part of why 84% of human disease genes have counterparts in zebrafish, too... hmm.",Hmm? Good theory. Seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals.
204,Hmm? Good theory. Seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals.,"Well, they are good at helping people adjust to new situations, too."
205,"Well, they are good at helping people adjust to new situations, too.","Yes, like for elderly who are without companions."
206,"Yes, like for elderly who are without companions.","Or people with anxiety and depression, or kids with autism."
207,"Or people with anxiety and depression, or kids with autism.","Yes, a seahorse wouldn't be very good for that purpose. Did you know seahorses are the only fish with a neck?"
208,"Yes, a seahorse wouldn't be very good for that purpose. Did you know seahorses are the only fish with a neck?",I don't think a black swallower fish would be good as a companion pet either because it can eat prey twice its length!
209,I don't think a black swallower fish would be good as a companion pet either because it can eat prey twice its length!,That would freak me out! But I bet it catches that prey using its acoustic communication!
210,That would freak me out! But I bet it catches that prey using its acoustic communication!,Could be. Fish are cool like that. I think it's neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish.
211,Could be. Fish are cool like that. I think it's neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish.,I wonder if reptiles are considered ectothermic like most fish?
212,I wonder if reptiles are considered ectothermic like most fish?,"That would be a good thing to know, especially because some of them make good pets."
213,"That would be a good thing to know, especially because some of them make good pets.","Yep, but I don't know if walking a gecko would give the same health benefits as walking a dog"
214,"Yep, but I don't know if walking a gecko would give the same health benefits as walking a dog",Probably not. Dog walking is good because it gives companionship and exercise at the same time.
215,Probably not. Dog walking is good because it gives companionship and exercise at the same time.,"Hey, did you know the first marine predator was the shark? They developed in the Silurian period."
